view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,example_name,example_color,example,choices,pass,example1_name,example1_color,example2_name,example2_color,examples,target,num_counters,pool_size,question_order,pid
NA,7666,ButtonsToText,10,171785,0.0-10.0,1,⚫,catch trial,arn,⚫,arn ⚫,"[""⚫"",""🟤"",""🔵"",""🟢"",""🟡"",""🟣""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,8880,ButtonsToText,11,180667,0.0-11.0,1,🔴🔴🔴🔵🔵,multipleCircles concat trial,NA,NA,NA,"[""🔴"",""🔵""]",NA,zup,🔴,keam,🔵,"zup 🔴🔴🔴, keam 🔵🔵",zup keam,NA,NA,NA,4
NA,4717,ButtonsToText,12,185385,0.0-12.0,1,🟤,ME trial,NA,🔴,NA,"[""🔴"",""🟤""]",NA,NA,NA,NA,NA,"tufa 🔴, rop 🔴",beex,1,2,NA,4
NA,5628,ButtonsToText,13,191015,0.0-13.0,1,🔵🔴🔴,doubleInTest concat trial,NA,NA,NA,"[""🔴"",""🔵""]",NA,fep,🔴,arn,🔵,"fep 🔴, arn 🔵",arn fep fep,NA,NA,NA,4
NA,7008,ButtonsToText,14,198025,0.0-14.0,1,🟡,ME trial,NA,⚫,NA,"[""⚫"",""🟤"",""🟣"",""🟡"",""🔴"",""🟢""]",NA,NA,NA,NA,NA,"fep ⚫, jom ⚫, lug ⚫",nep,2,6,NA,4
NA,3612,ButtonsToText,15,201639,0.0-15.0,1,🟤,ME trial,NA,🟣,NA,"[""🟣"",""🟤""]",NA,NA,NA,NA,NA,fep 🟣,jom,0,2,NA,4
NA,7957,ButtonsToText,16,209597,0.0-16.0,1,🟤,ME trial,NA,🟡,NA,"[""🟡"",""🔵"",""🔴"",""🟢"",""🟠"",""🟤""]",NA,NA,NA,NA,NA,tufa 🟡,beex,0,6,NA,4
NA,17496,survey-text,17,227099,0.0-17.0,1,"{""survey"":"" ""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,6427,survey-multi-choice,18,233528,0.0-18.0,1,"{""effort"":""Little to moderate effort""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],4
"[{""page_index"":0,""viewing_time"":1290}]",1290,instructions,19,234821,0.0-19.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"[{""page_index"":0,""viewing_time"":1384},{""page_index"":1,""viewing_time"":2387},{""page_index"":2,""viewing_time"":9779},{""page_index"":3,""viewing_time"":6067},{""page_index"":4,""viewing_time"":3446},{""page_index"":3,""viewing_time"":154},{""page_index"":2,""viewing_time"":511},{""page_index"":1,""viewing_time"":2652},{""page_index"":2,""viewing_time"":5518},{""page_index"":3,""viewing_time"":6351},{""page_index"":4,""viewing_time"":4484},{""page_index"":5,""viewing_time"":2598},{""page_index"":6,""viewing_time"":5126}]",50458,instructions,0,50461,0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,11802,ButtonsToText,1,62265,0.0-1.0,1,🟠,catch trial,gnog,🟠,gnog 🟠,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"[{""page_index"":0,""viewing_time"":11031}]",11031,instructions,2,73297,0.0-2.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,125008,ButtonsToText,3,198306,0.0-3.0,1,🔴,ME trial,NA,🔴,NA,"[""🔴"",""⚫"",""🟢"",""🟡"",""🟣"",""🔵""]",NA,NA,NA,NA,NA,"jom 🔴, gazzer 🔴, kiki 🔴",keam,2,6,NA,1
NA,40284,ButtonsToText,4,238592,0.0-4.0,1,🔴,ME trial,NA,🟠,NA,"[""🟠"",""🟤"",""⚫"",""🔴"",""🔵"",""🟢""]",NA,NA,NA,NA,NA,tufa 🟠,yart,0,6,NA,1
NA,14626,ButtonsToText,5,253220,0.0-5.0,1,🟡🟡,"ME_vs_OneToOne trial, oneDropped",NA,NA,NA,"[""🟡"",""🟣""]",NA,wif,🟡,virt,🟣,"wif 🟡, virt 🟣",wif muv,NA,NA,NA,1
NA,3927,ButtonsToText,6,257150,0.0-6.0,1,🟤🟢,simple concat trial,NA,NA,NA,"[""🟤"",""🟢""]",NA,gazzer,🟤,kiki,🟢,"gazzer 🟤, kiki 🟢",gazzer kiki,NA,NA,NA,1
NA,2601,ButtonsToText,7,259752,0.0-7.0,1,🟡,ME trial,NA,⚫,NA,"[""⚫"",""🟡""]",NA,NA,NA,NA,NA,"yart ⚫, keam ⚫",beex,1,2,NA,1
NA,18495,ButtonsToText,8,278249,0.0-8.0,1,🟡,ME trial,NA,🟡,NA,"[""🟡"",""🔵""]",NA,NA,NA,NA,NA,"rop 🟡, zup 🟡, blicket 🟡",kiki,2,2,NA,1
NA,3178,ButtonsToText,9,281430,0.0-9.0,1,🟡,ME trial,NA,⚫,NA,"[""⚫"",""🟡""]",NA,NA,NA,NA,NA,keam ⚫,zup,0,2,NA,1
NA,2561,ButtonsToText,10,283993,0.0-10.0,1,🔴,"ME_vs_OneToOne trial, simple",NA,NA,NA,"[""⚫"",""🔴""]",NA,enst,⚫,jom,🔴,"enst ⚫, jom 🔴",gazzer,NA,NA,NA,1
NA,4345,ButtonsToText,11,288339,0.0-11.0,1,🔴🟠🟠,doubleInTest concat trial,NA,NA,NA,"[""🟠"",""🔴""]",NA,jom,🟠,zup,🔴,"jom 🟠, zup 🔴",zup jom jom,NA,NA,NA,1
NA,7459,ButtonsToText,12,295800,0.0-12.0,1,🟡,ME trial,NA,🟣,NA,"[""🟣"",""🟤"",""🟡"",""🔴"",""⚫"",""🟠""]",NA,NA,NA,NA,NA,"lug 🟣, yart 🟣",tufa,1,6,NA,1
NA,10420,ButtonsToText,13,306222,0.0-13.0,1,🟤🟤🟡,"ME_vs_OneToOne trial, concat",NA,NA,NA,"[""🟤"",""🟡""]",NA,beex,🟤,jom,🟡,"beex 🟤, jom 🟡",beex arn jom,NA,NA,NA,1
NA,2350,ButtonsToText,14,308574,0.0-14.0,1,🟣,catch trial,rop,🟣,rop 🟣,"[""🟣"",""🟡"",""🟠"",""🔵"",""🟢"",""🟤""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1859,ButtonsToText,15,310435,0.0-15.0,1,🟡,catch trial,fep,🟡,fep 🟡,"[""🟡"",""🔵"",""🔴"",""🟣"",""⚫"",""🟤""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,5058,ButtonsToText,16,315494,0.0-16.0,1,⚫⚫⚫🟢🟢,multipleCircles concat trial,NA,NA,NA,"[""⚫"",""🟢""]",NA,zup,⚫,kiki,🟢,"zup ⚫⚫⚫, kiki 🟢🟢",zup kiki,NA,NA,NA,1
NA,13184,survey-text,17,328684,0.0-17.0,1,"{""survey"":""Decorating words and colors of the circles.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,4380,survey-multi-choice,18,333065,0.0-18.0,1,"{""effort"":""Moderate to high effort""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],1
"[{""page_index"":0,""viewing_time"":1065}]",1065,instructions,19,334133,0.0-19.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
