view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,choices,pass,question_order,example1_name,example1_color,example2_name,example2_color,examples,target,example_color,num_counters,pool_size,example_name,example,pid
NA,11671,ButtonsToText,9,240300,0.0-7.0,1,🟣,ME trial,"[""🟣"",""🔵""]",NA,NA,NA,NA,NA,NA,"rab 🟣, wif 🟣, hed 🟣",dax,🟣,2,2,NA,NA,28
NA,3229,ButtonsToText,10,243532,0.0-8.0,1,🟡,catch trial,"[""🟡"",""🔵"",""🟠"",""🟤"",""🟢"",""⚫""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟡,NA,NA,blicket,blicket 🟡,28
NA,4595,ButtonsToText,11,248129,0.0-9.0,1,🟤🟡,simple concat trial,"[""🟤"",""🟡""]",NA,NA,dax,🟤,fom,🟡,"dax 🟤, fom 🟡",dax fom,NA,NA,NA,NA,NA,28
NA,9487,ButtonsToText,12,257618,0.0-10.0,1,🔵,catch trial,"[""🔵"",""🔴"",""🟤"",""🟣"",""🟢"",""🟠""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🔵,NA,NA,ibb,ibb 🔵,28
NA,8006,ButtonsToText,13,265626,0.0-11.0,1,🔴🟤🟤,"ME_vs_OneToOne trial, concat","[""🔴"",""🟤""]",NA,NA,wif,🔴,rish,🟤,"wif 🔴, rish 🟤",wif kiki rish,NA,NA,NA,NA,NA,28
NA,3371,ButtonsToText,14,268998,0.0-12.0,1,🔵,ME trial,"[""🔴"",""🔵""]",NA,NA,NA,NA,NA,NA,"cag 🔴, zup 🔴",tufa,🔴,1,2,NA,NA,28
NA,10489,ButtonsToText,15,279489,0.0-13.0,1,🔵,ME trial,"[""🟠"",""🟤"",""🔵"",""⚫"",""🔴"",""🟡""]",NA,NA,NA,NA,NA,NA,"blicket 🟠, wif 🟠, tufa 🟠",yim,🟠,2,6,NA,NA,28
NA,4950,ButtonsToText,16,284441,0.0-14.0,1,🟢,ME trial,"[""🟡"",""🟣"",""🟢"",""🔴"",""🟠"",""⚫""]",NA,NA,NA,NA,NA,NA,rish 🟡,hed,🟡,0,6,NA,NA,28
NA,8067,ButtonsToText,17,292510,0.0-15.0,1,🟡🟡🟡🟤🟤,multipleCircles concat trial,"[""🟡"",""🟤""]",NA,NA,hed,🟡,lomp,🟤,"hed 🟡🟡🟡, lomp 🟤🟤",hed lomp,NA,NA,NA,NA,NA,28
NA,40211,survey-text,18,332727,0.0-16.0,1,"{""strategy"":""Copying the given example if the next input was the same, or seeing how many letters the word had and matching the colours. ""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
NA,5720,survey-multi-choice,19,338450,0.0-17.0,1,"{""effort"":""Little to moderate effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"[{""page_index"":0,""viewing_time"":6169}]",6170,instructions,20,344624,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"[{""page_index"":0,""viewing_time"":2385},{""page_index"":1,""viewing_time"":4729},{""page_index"":2,""viewing_time"":6423},{""page_index"":3,""viewing_time"":8610},{""page_index"":4,""viewing_time"":9719},{""page_index"":5,""viewing_time"":12593},{""page_index"":6,""viewing_time"":17504},{""page_index"":7,""viewing_time"":12103}]",74065,instructions,0,74069,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
NA,32551,ButtonsToText,1,106621,0.0-0.0-1.0,1,🟢🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
NA,29150,survey-multi-choice,2,135773,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"[{""page_index"":0,""viewing_time"":2085}]",2085,instructions,3,137861,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
NA,18997,ButtonsToText,4,156859,0.0-2.0,1,🔵,"ME_vs_OneToOne trial, oneDropped","[""🔵"",""🔴""]",NA,NA,tufa,🔵,blicket,🔴,"tufa 🔵, blicket 🔴",tufa zup,NA,NA,NA,NA,NA,61
NA,11200,ButtonsToText,5,168061,0.0-3.0,1,🟤,"ME_vs_OneToOne trial, simple","[""🟤"",""🟡""]",NA,NA,yim,🟤,kiki,🟡,"yim 🟤, kiki 🟡",lug,NA,NA,NA,NA,NA,61
NA,21342,ButtonsToText,6,189404,0.0-4.0,1,⚫,ME trial,"[""⚫"",""🟠""]",NA,NA,NA,NA,NA,NA,"kiki ⚫, wif ⚫, hed ⚫",tufa,⚫,2,2,NA,NA,61
NA,19639,ButtonsToText,7,209044,0.0-5.0,1,🔵🔵🔵⚫⚫,multipleCircles concat trial,"[""🔵"",""⚫""]",NA,NA,wif,🔵,zun,⚫,"wif 🔵🔵🔵, zun ⚫⚫",wif zun,NA,NA,NA,NA,NA,61
NA,12640,ButtonsToText,8,221685,0.0-6.0,1,⚫,ME trial,"[""🔴"",""⚫""]",NA,NA,NA,NA,NA,NA,rish 🔴,wif,🔴,0,2,NA,NA,61
NA,9646,ButtonsToText,9,231333,0.0-7.0,1,🟢,catch trial,"[""🟢"",""🟤"",""🔵"",""⚫"",""🟣"",""🟡""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟢,NA,NA,pab,pab 🟢,61
NA,19375,ButtonsToText,10,250709,0.0-8.0,1,🔵,ME trial,"[""🔵"",""🟣"",""⚫"",""🟢"",""🔴"",""🟤""]",NA,NA,NA,NA,NA,NA,"gazzer 🔵, rish 🔵",lug,🔵,1,6,NA,NA,61
NA,9119,ButtonsToText,11,259829,0.0-9.0,1,🔴🔵🔵,doubleInTest concat trial,"[""🔵"",""🔴""]",NA,NA,rab,🔵,ibb,🔴,"rab 🔵, ibb 🔴",ibb rab rab,NA,NA,NA,NA,NA,61
NA,6007,ButtonsToText,12,265837,0.0-10.0,1,⚫🔵,simple concat trial,"[""⚫"",""🔵""]",NA,NA,rish,⚫,pab,🔵,"rish ⚫, pab 🔵",rish pab,NA,NA,NA,NA,NA,61
NA,6879,ButtonsToText,13,272717,0.0-11.0,1,🔴,ME trial,"[""🟠"",""🔴""]",NA,NA,NA,NA,NA,NA,"gazzer 🟠, dax 🟠",fom,🟠,1,2,NA,NA,61
NA,8799,ButtonsToText,14,281517,0.0-12.0,1,⚫🔵🔵,"ME_vs_OneToOne trial, concat","[""⚫"",""🔵""]",NA,NA,jeg,⚫,rish,🔵,"jeg ⚫, rish 🔵",jeg wif rish,NA,NA,NA,NA,NA,61
NA,19566,ButtonsToText,15,301085,0.0-13.0,1,🟤,ME trial,"[""🟠"",""🔴"",""🔵"",""🟢"",""🟡"",""🟤""]",NA,NA,NA,NA,NA,NA,"rab 🟠, kiki 🟠, lomp 🟠",zup,🟠,2,6,NA,NA,61
NA,11550,ButtonsToText,16,312638,0.0-14.0,1,🟢,ME trial,"[""🟣"",""🟢"",""⚫"",""🟡"",""🔵"",""🟠""]",NA,NA,NA,NA,NA,NA,yim 🟣,lug,🟣,0,6,NA,NA,61
NA,5150,ButtonsToText,17,317789,0.0-15.0,1,⚫,catch trial,"[""⚫"",""🟣"",""🔵"",""🟠"",""🔴"",""🟡""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,fep,fep ⚫,61
NA,14181,survey-text,18,331974,0.0-16.0,1,"{""strategy"":""intuition""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
NA,11799,survey-multi-choice,19,343774,0.0-17.0,1,"{""effort"":""Moderate to high effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"[{""page_index"":0,""viewing_time"":8914}]",8915,instructions,20,352694,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"[{""page_index"":0,""viewing_time"":3876},{""page_index"":1,""viewing_time"":2751},{""page_index"":2,""viewing_time"":2361},{""page_index"":3,""viewing_time"":6305},{""page_index"":4,""viewing_time"":7185},{""page_index"":5,""viewing_time"":9917},{""page_index"":6,""viewing_time"":8822},{""page_index"":7,""viewing_time"":8478}]",49695,instructions,0,49698,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
NA,40531,ButtonsToText,1,90230,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
NA,24075,survey-multi-choice,2,114307,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"[{""page_index"":0,""viewing_time"":2075}]",2075,instructions,3,116384,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
NA,39476,ButtonsToText,4,155861,0.0-2.0,1,🔴,ME trial,"[""🟤"",""🔴""]",NA,NA,NA,NA,NA,NA,"jeg 🟤, wif 🟤",yim,🟤,1,2,NA,NA,16
NA,13242,ButtonsToText,5,169104,0.0-3.0,1,🟤🟤🟤🟣🟣,multipleCircles concat trial,"[""🟤"",""🟣""]",NA,NA,blicket,🟤,hed,🟣,"blicket 🟤🟤🟤, hed 🟣🟣",blicket hed,NA,NA,NA,NA,NA,16
NA,6484,ButtonsToText,6,175588,0.0-4.0,1,🟡🟠🟠,doubleInTest concat trial,"[""🟠"",""🟡""]",NA,NA,dax,🟠,kiki,🟡,"dax 🟠, kiki 🟡",kiki dax dax,NA,NA,NA,NA,NA,16
NA,9671,ButtonsToText,7,185261,0.0-5.0,1,⚫,catch trial,"[""⚫"",""🟤"",""🔴"",""🔵"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,ibb,ibb ⚫,16
NA,35981,ButtonsToText,8,221243,0.0-6.0,1,🟠🔴,"ME_vs_OneToOne trial, simple","[""🔴"",""🟠""]",NA,NA,tufa,🔴,zup,🟠,"tufa 🔴, zup 🟠",jeg,NA,NA,NA,NA,NA,16
NA,15884,ButtonsToText,9,237128,0.0-7.0,1,🟣🟡🟡,"ME_vs_OneToOne trial, oneDropped","[""🟣"",""🟡""]",NA,NA,rab,🟣,rish,🟡,"rab 🟣, rish 🟡",rab zup,NA,NA,NA,NA,NA,16
NA,16919,ButtonsToText,10,254048,0.0-8.0,1,🟠,ME trial,"[""🟢"",""⚫"",""🔴"",""🟣"",""🟠"",""🟡""]",NA,NA,NA,NA,NA,NA,"yim 🟢, zup 🟢",lug,🟢,1,6,NA,NA,16
NA,8378,ButtonsToText,11,262428,0.0-9.0,1,🟢,ME trial,"[""🟠"",""🟡"",""🟤"",""🟢"",""🔵"",""🟣""]",NA,NA,NA,NA,NA,NA,"zun 🟠, ibb 🟠, zup 🟠",yim,🟠,2,6,NA,NA,16
NA,3171,ButtonsToText,12,265601,0.0-10.0,1,🟤,catch trial,"[""🟤"",""🔵"",""🔴"",""🟢"",""⚫"",""🟠""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟤,NA,NA,zun,zun 🟤,16
NA,6608,ButtonsToText,13,272211,0.0-11.0,1,🟤,ME trial,"[""🟠"",""🟣"",""🟢"",""🔴"",""🟤"",""⚫""]",NA,NA,NA,NA,NA,NA,zun 🟠,dax,🟠,0,6,NA,NA,16
NA,4612,ButtonsToText,14,276824,0.0-12.0,1,🟠🟢,simple concat trial,"[""🟠"",""🟢""]",NA,NA,ibb,🟠,yim,🟢,"ibb 🟠, yim 🟢",ibb yim,NA,NA,NA,NA,NA,16
NA,12243,ButtonsToText,15,289068,0.0-13.0,1,🔴🔴🟣,"ME_vs_OneToOne trial, concat","[""🔴"",""🟣""]",NA,NA,tufa,🔴,zup,🟣,"tufa 🔴, zup 🟣",tufa rab zup,NA,NA,NA,NA,NA,16
NA,4459,ButtonsToText,16,293529,0.0-14.0,1,🟡,ME trial,"[""🔴"",""🟡""]",NA,NA,NA,NA,NA,NA,"dax 🔴, pab 🔴, zun 🔴",cag,🔴,2,2,NA,NA,16
NA,3493,ButtonsToText,17,297024,0.0-15.0,1,🔴,ME trial,"[""🔵"",""🔴""]",NA,NA,NA,NA,NA,NA,pab 🔵,zun,🔵,0,2,NA,NA,16
NA,72531,survey-text,18,369564,0.0-16.0,1,"{""strategy"":""Purely intuition as mentioned some words did resemble seen before in the study but if the word came up without associated command I tried to go for another color and add another one since it seemed like some words made out of multiple from the same color.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
NA,8499,survey-multi-choice,19,378065,0.0-17.0,1,"{""effort"":""Moderate effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"[{""page_index"":0,""viewing_time"":10449}]",10449,instructions,20,388517,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"[{""page_index"":0,""viewing_time"":1391},{""page_index"":1,""viewing_time"":3112},{""page_index"":2,""viewing_time"":2355},{""page_index"":3,""viewing_time"":11130},{""page_index"":4,""viewing_time"":9718},{""page_index"":5,""viewing_time"":14143},{""page_index"":6,""viewing_time"":9871},{""page_index"":7,""viewing_time"":7607}]",59327,instructions,0,59330,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
NA,23009,ButtonsToText,1,82343,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
NA,61569,survey-multi-choice,2,143916,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"[{""page_index"":0,""viewing_time"":1763}]",1763,instructions,3,145681,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
NA,20090,ButtonsToText,4,165773,0.0-2.0,1,🟢⚫⚫,doubleInTest concat trial,"[""⚫"",""🟢""]",NA,NA,rab,⚫,jeg,🟢,"rab ⚫, jeg 🟢",jeg rab rab,NA,NA,NA,NA,NA,33
NA,39451,ButtonsToText,5,205227,0.0-3.0,1,🔴,"ME_vs_OneToOne trial, oneDropped","[""🔴"",""🟤""]",NA,NA,lug,🔴,ibb,🟤,"lug 🔴, ibb 🟤",lug rab,NA,NA,NA,NA,NA,33
NA,10258,ButtonsToText,6,215488,0.0-4.0,1,🟢,catch trial,"[""🟢"",""🟤"",""🔵"",""⚫"",""🟣"",""🟠""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟢,NA,NA,jeg,jeg 🟢,33
NA,44352,ButtonsToText,7,259842,0.0-5.0,1,🟢🟡,"ME_vs_OneToOne trial, simple","[""🟢"",""🟡""]",NA,NA,pab,🟢,ibb,🟡,"pab 🟢, ibb 🟡",hed,NA,NA,NA,NA,NA,33
NA,21339,ButtonsToText,8,281182,0.0-6.0,1,🔵,ME trial,"[""⚫"",""🔵""]",NA,NA,NA,NA,NA,NA,zup ⚫,cag,⚫,0,2,NA,NA,33
NA,6132,ButtonsToText,9,287315,0.0-7.0,1,🟡🟡🟡🔴🔴,multipleCircles concat trial,"[""🟡"",""🔴""]",NA,NA,lug,🟡,wif,🔴,"lug 🟡🟡🟡, wif 🔴🔴",lug wif,NA,NA,NA,NA,NA,33
NA,3298,ButtonsToText,10,290614,0.0-8.0,1,🔵,catch trial,"[""🔵"",""🟣"",""⚫"",""🔴"",""🟢"",""🟠""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🔵,NA,NA,blicket,blicket 🔵,33
NA,5100,ButtonsToText,11,295716,0.0-9.0,1,🟠,ME trial,"[""🟤"",""🔴"",""🟢"",""🟠"",""🔵"",""🟣""]",NA,NA,NA,NA,NA,NA,"rab 🟤, zup 🟤",cag,🟤,1,6,NA,NA,33
NA,3797,ButtonsToText,12,299514,0.0-10.0,1,🔴,ME trial,"[""🔵"",""🔴"",""🟠"",""🟣"",""🟢"",""🟡""]",NA,NA,NA,NA,NA,NA,zup 🔵,hed,🔵,0,6,NA,NA,33
NA,4186,ButtonsToText,13,303702,0.0-11.0,1,🟤,ME trial,"[""⚫"",""🟤""]",NA,NA,NA,NA,NA,NA,"ibb ⚫, zup ⚫, tufa ⚫",fom,⚫,2,2,NA,NA,33
NA,4553,ButtonsToText,14,308256,0.0-12.0,1,🟢,ME trial,"[""⚫"",""🟣"",""🔴"",""🟠"",""🔵"",""🟢""]",NA,NA,NA,NA,NA,NA,"wif ⚫, ibb ⚫, tufa ⚫",blicket,⚫,2,6,NA,NA,33
NA,3546,ButtonsToText,15,311803,0.0-13.0,1,⚫,ME trial,"[""🔵"",""⚫""]",NA,NA,NA,NA,NA,NA,"fom 🔵, ibb 🔵",jeg,🔵,1,2,NA,NA,33
NA,10022,ButtonsToText,16,321826,0.0-14.0,1,🟡🟠,"ME_vs_OneToOne trial, concat","[""🟡"",""🟠""]",NA,NA,yim,🟡,zup,🟠,"yim 🟡, zup 🟠",yim dax zup,NA,NA,NA,NA,NA,33
NA,5728,ButtonsToText,17,327555,0.0-15.0,1,🟠🔴,simple concat trial,"[""🟠"",""🔴""]",NA,NA,gazzer,🟠,wif,🔴,"gazzer 🟠, wif 🔴",gazzer wif,NA,NA,NA,NA,NA,33
NA,62010,survey-text,18,389569,0.0-16.0,1,"{""strategy"":""When instructions matched the commands i clicked the coresponding colored circle in the output, when they didn't i was just guessing\n""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
NA,3977,survey-multi-choice,19,393548,0.0-17.0,1,"{""effort"":""Moderate effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"[{""page_index"":0,""viewing_time"":11584}]",11584,instructions,20,405133,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"[{""page_index"":0,""viewing_time"":6104},{""page_index"":1,""viewing_time"":7126},{""page_index"":2,""viewing_time"":4153},{""page_index"":3,""viewing_time"":9938},{""page_index"":4,""viewing_time"":15548},{""page_index"":5,""viewing_time"":11432},{""page_index"":6,""viewing_time"":7470},{""page_index"":7,""viewing_time"":9766}]",71539,instructions,0,71543,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
NA,28084,ButtonsToText,1,99630,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
NA,31205,survey-multi-choice,2,130838,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"[{""page_index"":0,""viewing_time"":1407}]",1408,instructions,3,132249,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
NA,19491,ButtonsToText,4,151742,0.0-2.0,1,🟠🟣,"ME_vs_OneToOne trial, oneDropped","[""🟠"",""🟣""]",NA,NA,pab,🟠,lomp,🟣,"pab 🟠, lomp 🟣",pab rab,NA,NA,NA,NA,NA,41
NA,23492,ButtonsToText,5,175236,0.0-3.0,1,🟣,catch trial,"[""🟣"",""🟡"",""⚫"",""🔴"",""🟤"",""🟠""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟣,NA,NA,jeg,jeg 🟣,41
NA,4572,ButtonsToText,6,179810,0.0-4.0,1,⚫,catch trial,"[""⚫"",""🔴"",""🟤"",""🟢"",""🔵"",""🟣""]",TRUE,NA,NA,NA,NA,NA,NA,NA,⚫,NA,NA,wif,wif ⚫,41
NA,13922,ButtonsToText,7,193734,0.0-5.0,1,🔵,ME trial,"[""⚫"",""🔵""]",NA,NA,NA,NA,NA,NA,"lug ⚫, dax ⚫",kiki,⚫,1,2,NA,NA,41
NA,9541,ButtonsToText,8,203276,0.0-6.0,1,🟤,"ME_vs_OneToOne trial, simple","[""🟢"",""🟤""]",NA,NA,ibb,🟢,blicket,🟤,"ibb 🟢, blicket 🟤",gazzer,NA,NA,NA,NA,NA,41
NA,10201,ButtonsToText,9,213479,0.0-7.0,1,⚫🟤🟤,doubleInTest concat trial,"[""🟤"",""⚫""]",NA,NA,zup,🟤,yim,⚫,"zup 🟤, yim ⚫",yim zup zup,NA,NA,NA,NA,NA,41
NA,13496,ButtonsToText,10,226978,0.0-8.0,1,🟤,ME trial,"[""🟢"",""⚫"",""🔵"",""🔴"",""🟤"",""🟡""]",NA,NA,NA,NA,NA,NA,lug 🟢,rab,🟢,0,6,NA,NA,41
NA,8120,ButtonsToText,11,235099,0.0-9.0,1,🔴,ME trial,"[""🟡"",""🟣"",""🟢"",""⚫"",""🔴"",""🟠""]",NA,NA,NA,NA,NA,NA,"blicket 🟡, lomp 🟡, rab 🟡",ibb,🟡,2,6,NA,NA,41
NA,4273,ButtonsToText,12,239374,0.0-10.0,1,🟢🟤,simple concat trial,"[""🟢"",""🟤""]",NA,NA,dax,🟢,blicket,🟤,"dax 🟢, blicket 🟤",dax blicket,NA,NA,NA,NA,NA,41
NA,4294,ButtonsToText,13,243669,0.0-11.0,1,🟡,ME trial,"[""🟤"",""🟢"",""⚫"",""🟡"",""🔴"",""🟣""]",NA,NA,NA,NA,NA,NA,"rab 🟤, fom 🟤",kiki,🟤,1,6,NA,NA,41
NA,4060,ButtonsToText,14,247731,0.0-12.0,1,🟡,ME trial,"[""🔵"",""🟡""]",NA,NA,NA,NA,NA,NA,"tufa 🔵, pab 🔵, yim 🔵",lomp,🔵,2,2,NA,NA,41
NA,6321,ButtonsToText,15,254054,0.0-13.0,1,🟠🟠🟠🟢🟢,multipleCircles concat trial,"[""🟠"",""🟢""]",NA,NA,dax,🟠,rish,🟢,"dax 🟠🟠🟠, rish 🟢🟢",dax rish,NA,NA,NA,NA,NA,41
NA,2742,ButtonsToText,16,256797,0.0-14.0,1,🟡,ME trial,"[""🔴"",""🟡""]",NA,NA,NA,NA,NA,NA,kiki 🔴,tufa,🔴,0,2,NA,NA,41
NA,8341,ButtonsToText,17,265139,0.0-15.0,1,🔵🟢🟢🟢,"ME_vs_OneToOne trial, concat","[""🔵"",""🟢""]",NA,NA,zup,🔵,lug,🟢,"zup 🔵, lug 🟢",zup lomp lug,NA,NA,NA,NA,NA,41
NA,34039,survey-text,18,299186,0.0-16.0,1,"{""strategy"":""Just trying to remember past colors and also utilizing the avaliable options and color selections""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
NA,5980,survey-multi-choice,19,305167,0.0-17.0,1,"{""effort"":""Moderate to high effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"[{""page_index"":0,""viewing_time"":6405}]",6405,instructions,20,311575,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"[{""page_index"":0,""viewing_time"":1199},{""page_index"":1,""viewing_time"":4285},{""page_index"":2,""viewing_time"":1532},{""page_index"":3,""viewing_time"":41828},{""page_index"":4,""viewing_time"":14166},{""page_index"":5,""viewing_time"":4690},{""page_index"":6,""viewing_time"":2740},{""page_index"":7,""viewing_time"":4624}]",75063,instructions,0,75071,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,162306,ButtonsToText,1,237379,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,24011,survey-multi-choice,2,261394,0.0-0.0-2.0,1,"{""commands"":""Categories of circles"",""outputs"":""Button clicks"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"[{""page_index"":0,""viewing_time"":1388},{""page_index"":1,""viewing_time"":4048},{""page_index"":2,""viewing_time"":3316},{""page_index"":3,""viewing_time"":5980},{""page_index"":4,""viewing_time"":1892},{""page_index"":5,""viewing_time"":760},{""page_index"":6,""viewing_time"":1212},{""page_index"":7,""viewing_time"":840}]",19436,instructions,3,280842,0.0-0.1-0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,5047,ButtonsToText,4,285890,0.0-0.1-1.1,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,16094,survey-multi-choice,5,301986,0.0-0.1-2.1,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""No"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"[{""page_index"":0,""viewing_time"":1685},{""page_index"":1,""viewing_time"":2892},{""page_index"":2,""viewing_time"":1092},{""page_index"":3,""viewing_time"":3628},{""page_index"":4,""viewing_time"":5564},{""page_index"":5,""viewing_time"":6932},{""page_index"":6,""viewing_time"":3592},{""page_index"":7,""viewing_time"":3260}]",28644,instructions,6,330633,0.0-0.2-0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,2539,ButtonsToText,7,333173,0.0-0.2-1.2,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,9710,survey-multi-choice,8,342885,0.0-0.2-2.2,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"[{""page_index"":0,""viewing_time"":1613}]",1613,instructions,9,344501,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
